order_date,region,total_orders,active_customers,revenue,gross_profit,gross_margin_pct,avg_item_revenue
2025-01-03,Delta,1,1,7552.76,1555.37,0.2059,2517.59
2025-01-03,Giza,1,1,4375.22,1942.5,0.444,4375.22
2025-01-04,Giza,1,1,3107.87,1140.94,0.3671,3107.87
2025-01-05,Giza,1,1,570.18,221.26,0.3881,570.18
2025-01-06,Giza,1,1,7578.78,2687.76,0.3546,7578.78
2025-01-07,Alexandria,1,1,12070.05,4800.24,0.3977,12070.05
2025-01-07,Delta,1,1,570.18,221.26,0.3881,570.18
2025-01-09,Gulf,1,1,2014.31,138.07,0.0685,2014.31
2025-01-10,Cairo,1,1,155.32,59.2,0.3811,155.32
2025-01-11,Cairo,1,1,2126.21,249.97,0.1176,2126.21
2025-01-12,Alexandria,1,1,5164.59,1899.7,0.3678,2582.3
2025-01-12,Gulf,2,2,8482.85,2779.67,0.3277,1696.57
2025-01-14,Giza,1,1,693.62,138.38,0.1995,693.62
2025-01-15,Cairo,1,1,6596.6,2297.09,0.3482,3298.3
2025-01-15,Giza,1,1,1315.25,413.36,0.3143,1315.25
2025-01-16,Upper Egypt,2,2,7797.49,1658.07,0.2126,1559.5
2025-01-19,Delta,1,1,18249.22,5682.11,0.3114,4562.31
2025-01-22,Cairo,1,1,6524.0,999.23,0.1532,3262.0
2025-01-22,Gulf,1,1,3470.04,795.86,0.2294,1735.02
2025-01-23,Delta,1,1,2413.63,45.18,0.0187,2413.63
2025-01-24,Delta,2,2,15337.67,3228.01,0.2105,5112.56
2025-01-25,Giza,1,1,4246.87,1823.6,0.4294,4246.87
2025-01-27,Giza,1,1,1074.84,375.88,0.3497,537.42
2025-01-28,Cairo,1,1,16076.74,2425.12,0.1508,5358.91
2025-01-28,Giza,1,1,4754.77,376.07,0.0791,4754.77
